ID,lake,year,count,SL,length_3,length_4,length_5,width_1,width_2,width_3,ruler_pixels,ruler_mm,sex,comments
PT0001,Temiscouata,2025,19,44.18,392.541,370.645,365.014,32.000,32.016,30.083,356.140,1.000,F,
PT0048,Foin,2025,21,49.42,384.772,410.702,387.127,59.841,61.008,59.000,350.000,1.000,F,
PT0110,Rond,2025,21,57.820,561.690,511.889,483.822,72.471,69.857,68.411,360.022,1.000,F,
PT0111,Rond,2025,24,51.610,546.226,566.720,541.144,52.010,55.000,56.321,352.363,1.000,F,
PT0112,Rond,2025,20,64.04,575.079,674.470,615.970,100.180,102.489,100.319,360.089,1.000,F,
PT0113,Rond,2025,21,56.35,499.800,529.925,515.494,52.038,58.034,58.138,360.006,1.000,F,
PT0114,Rond,2025,21,56.990,713.190,707.476,698.452,57.489,52.612,58.000,356.022,1.000,F,
PT0115,Rond,2025,22,51.550,645.234,635.000,659.570,44.598,39.051,47.265,354.006,1.000,M,
PT0116,Rond,2025,22,54.70,538.415,581.622,542.010,59.000,51.000,51.157,354.006,1.000,F,
PT0117,Rond,2025,21,58.47,587.960,581.817,557.587,45.541,48.270,46.690,350.143,1.000,F,measurements from left side
PT0118,Rond,2025,25,NA,493.393,507.075,507.581,31.016,39.319,42.107,352.006,1.000,M,
PT0119,Rond,2025,21,43.680,380.191,346.359,349.399,42.450,41.195,46.271,358.452,1.000,M,
PT0120,Rond,2025,23,61.490,737.602,745.605,717.559,65.513,67.602,62.201,350.006,1.000,F,
PT0121,Rond,2025,22,59.360,551.452,502.013,516.611,68.066,65.192,67.082,350.006,1.000,F,
PT0122,Rond,2025,21,57.43,607.922,511.525,518.282,66.272,61.074,61.000,357.099,1.000,F,
PT0123,Rond,2025,23,56.66,597.731,592.538,534.563,45.100,40.012,40.200,354.006,1.000,F,
PT0124,Rond,2025,25,60.49,543.040,510.376,525.419,72.443,58.856,52.612,350.023,1.000,F,
PT0125,Rond,2025,21,57.68,535.968,487.420,489.388,50.090,44.181,51.039,352.000,1.000,F,
PT0126,Rond,2025,21,61.730,650.182,671.098,671.653,69.426,72.028,76.026,354.006,1.000,M,
PT0127,Rond,2025,18,55.47,626.596,630.607,549.447,59.135,58.078,58.000,354.051,1.000,F,measurements from left side
PT0128,Rond,2025,22,57.640,794.393,757.215,745.063,77.104,63.000,65.031,356.140,1.000,M,
PT0129,Rond,2025,22,55.840,569.161,574.463,577.724,46.271,44.011,55.579,352.006,1.000,F,
PT0130,Rond,2025,21,54.75,496.062,495.744,507.484,55.009,41.195,51.000,350.206,1.000,F,
PT0131,Rond,2025,22,55.73,634.754,620.153,633.653,46.174,48.000,44.911,356.090,1.000,F,
PT0171,Squatec,2025,21,69.18,632.833,644.218,648.035,58.034,68.359,64.031,358.006,1.000,F,
PT0172,Squatec,2025,21,70.48,669.766,669.858,625.694,56.569,65.123,66.121,356.000,1.000,M,
PT0173,Squatec,2025,21,55.65,608.221,675.740,633.115,38.897,36.878,42.000,354.006,1.000,M,
PT0174,Squatec,2025,20,67.11,607.783,604.157,573.208,46.000,60.008,62.008,348.023,1.000,M,
PT0175,Squatec,2025,21,65.42,552.683,402.890,532.611,64.133,68.029,62.032,354.090,1.000,M,
