lake,year,year_group,SL,count,mean_length_mm,mean_width_mm,sex
Croche,2021,2021–2023,50.8,22,1.3210890151515151,0.1829034090909091,F
Croche,2021,2021–2023,32.63,23,0.7690389237708691,0.12267535844647617,F
Croche,2021,2021–2023,53.29,21,1.340982770146341,0.21329043094186018,F
Croche,2021,2021–2023,57.67,21,1.2557608521247576,0.2117608635178154,M
Croche,2021,2021–2023,53.86,21,1.3890510067377988,0.18730743629423877,M
Croche,2021,2021–2023,51.43,22,1.327495330743758,0.15698631497332127,M
Croche,2021,2021–2023,35.1,23,0.6369561386369992,0.11914955157895542,F
Croche,2021,2021–2023,38.34,21,0.8902614632429082,0.1405961803858563,M
Croche,2021,2021–2023,36.68,21,0.8621202195840468,0.12304866322656767,M
Rond,2022,2021–2023,39.45,20,1.009028595154022,0.13920092028629436,M
Rond,2022,2021–2023,51.56,21,1.9494370155038758,0.23191957364341084,M
Sutherland,2022,2021–2023,49.84,20,1.3497518560936281,0.1791878201512225,F
Foin,2022,2021–2023,36.12,23,0.7860854858109324,0.10488644079579532,F
Foin,2022,2021–2023,35.19,18,0.6840729452459959,0.09056372756141212,F
Foin,2022,2021–2023,43.9,20,0.8027634253749221,0.16506699313451745,M
Foin,2022,2021–2023,38.91,21,0.9720219640655933,0.13614617424710435,M
Foin,2022,2021–2023,37.87,20,0.6857469462226791,0.1269516335596485,M
Foin,2022,2021–2023,36.28,22,0.5905070602230995,0.16261309670906057,F
Foin,2022,2021–2023,45.53,20,1.0385738121104364,0.20142661053205888,F
Foin,2022,2021–2023,56.06,19,1.0340554919886427,0.19355932333984416,F
Foin,2022,2021–2023,49.33,21,0.9501798264802305,0.16387315367730476,M
Foin,2022,2021–2023,51.86,21,0.8600729166666666,0.18512594696969698,M
Foin,2022,2021–2023,46.46,19,0.8881658292166947,0.1837042309347147,F
Foin,2022,2021–2023,51.32,20,0.898156095596728,0.19973624103985377,F
Foin,2022,2021–2023,45.35,21,1.166842156862745,0.18383333333333332,M
Foin,2022,2021–2023,46.7,21,1.0531629823708728,0.1703965855320861,F
Foin,2022,2021–2023,49.78,20,0.9482840254616873,0.1819088310994699,F
Foin,2022,2021–2023,44.66,21,0.9218309054716307,0.1789173965232796,F
Croche,2022,2021–2023,34.87,24,0.872966560488681,0.10995788460494113,F
Croche,2022,2021–2023,42.89,22,0.9693250915750915,0.12281227106227106,M
Croche,2022,2021–2023,49.57,21,1.136320747081949,0.18962403108525114,M
Croche,2022,2021–2023,45.31,22,0.9040617531811717,0.18137879168655047,F
Croche,2022,2021–2023,34.42,22,0.8365780994295766,0.12336890711833509,M
Croche,2022,2021–2023,46.73,24,0.9295775043462875,0.14981093532480835,F
Croche,2022,2021–2023,52.38,25,1.2694588235294118,0.16553529411764706,F
Croche,2022,2021–2023,40.65,22,0.8457378277153558,0.1575945692883895,M
Croche,2022,2021–2023,54.29,22,1.2181915724309174,0.1855653115069668,F
Croche,2022,2021–2023,34.36,20,0.7037531202657633,0.13560726504609474,F
Croche,2022,2021–2023,55.47,22,1.1132040845753537,0.15616965257139864,F
Croche,2022,2021–2023,49.22,22,0.9726776566803158,0.2113259334156374,F
Croche,2022,2021–2023,38.44,22,0.9091271521008938,0.11222505996668572,F
Croche,2022,2021–2023,55.84,20,1.2121887434310652,0.1983908847276904,F
Croche,2022,2021–2023,46.16,22,0.8718622596050021,0.13835446912634342,M
Croche,2022,2021–2023,39.7,23,0.7145082040382976,0.097054371340281,F
Croche,2022,2021–2023,42.2,23,0.8679054466738445,0.13459351406529493,M
Croche,2022,2021–2023,46.65,22,1.2170188534432602,0.1506047214072616,M
Croche,2022,2021–2023,38.47,22,1.0152963509093067,0.15589942919988176,M
Croche,2022,2021–2023,38.64,23,0.6713878496347764,0.1192067569716231,M
Croche,2022,2021–2023,37.23,22,0.8129538606403013,0.13046516007532957,M
Croche,2022,2021–2023,38.25,22,0.8171332689353272,0.12022220144867186,F
Croche,2022,2021–2023,36.16,22,0.7697344632768361,0.10377401129943503,M
Croche,2022,2021–2023,38.53,23,0.8326695920800526,0.1287791350984851,M
Croche,2022,2021–2023,58.57,21,1.2479878541786087,0.21178475993083734,M
Croche,2022,2021–2023,49.27,21,1.0723814684670092,0.16021053650869913,M
Croche,2022,2021–2023,39.7,21,0.8005480702491976,0.13654789601815787,M
Croche,2022,2021–2023,59.43,20,0.943605127942895,0.2712122331248142,F
Croche,2022,2021–2023,38.76,22,0.8920133390357518,0.13046690478116968,U
Croche,2022,2021–2023,37.32,21,0.8264873853189656,0.13337541640830264,M
Croche,2022,2021–2023,55.38,19,1.0438297248237651,0.20798214887744784,F
Croche,2022,2021–2023,53.41,22,0.899716572504708,0.22512617702448212,F
Croche,2022,2021–2023,46.02,23,1.0020952021774865,0.17728267515414023,M
Croche,2022,2021–2023,44.57,22,1.052596752894092,0.1377436294206733,M
Croche,2022,2021–2023,41.76,20,0.841399314274586,0.10633799783908486,M
Croche,2022,2021–2023,45.34,22,1.013639766175437,0.1496202922235619,M
Croche,2022,2021–2023,38.2,21,0.8123083368244659,0.11807661872178,M
