date_measured,lake,year,id,sl,body_depth,ap_length,ap_width,jaw_length,plate_r,plate_l,ppl,ppw,dorsal_1,dorsal_2,pspine_r,pspine_l,pspine_num,pscore_r,pscore_l,sex,comments,...23,year_group
45580,Croche,2021,F21001,50.8,10.07,5.39,1.62,3.8,C,C,9.78,3.41,NA,4.91,5.24,NA,2,4,4,F,NA,NA,2021_2023
45580,Croche,2021,F21002,32.63,7.55,4.28,1.32,2.24,C,C,5.85,2.97,3.3,4.32,5.19,5.18,2,4,4,F,NA,plate morphs,2021_2023
45580,Croche,2021,F21003,53.29,11.43,6.04,2.1,4.37,C,C,10.87,4.21,5.69,5.72,7.33,7.44,2,4,4,F,NA,"C = complete (0, 1 or 2 gaps)",2021_2023
45580,Croche,2021,F21004,57.67,12.17,6.78,1.97,4.2,C,C,11.66,3.79,5.12,6.25,8.01,8.34,2,4,4,M,NA,P = partial (3 gaps),2021_2023
45580,Croche,2021,F21005,53.86,11.05,6.78,1.72,4.92,C,C,10.59,3.77,4.72,5.16,7.28,7.39,2,4,4,M,NA,L = low (gaps more than 3),2021_2023
45580,Croche,2021,F21006,51.43,11.38,6.03,0.83,4.68,P,P,10.72,3.74,5.16,5.76,8.2,8.26,2,4,4,M,NA,NA,2021_2023
45580,Croche,2021,F21007,35.1,7.6,4.17,0.97,2.66,C,P,7.57,2.6,4.06,4.51,5.48,5.52,2,4,4,F,3 plate gap left side,NA,2021_2023
45580,Croche,2021,F21008,38.34,7.98,4.27,1.72,2.84,C,C,7.61,2.77,3.98,4.23,6.44,6.13,2,4,4,M,NA,NA,2021_2023
45580,Croche,2021,F21009,36.68,7.94,3.16,0.82,2.76,C,C,NA,NA,3.58,3.87,NA,NA,0,2,2,M,NA,NA,2021_2023
45586,Croche,2022,SGH220011,34.87,7.47,3.59,0.98,2.75,NA,NA,6.45,2.46,2.73,3.38,4.53,4.92,2,4,4,F,"trap mortality, severed tail",NA,2021_2023
45586,Croche,2022,SGH220012,42.89,8.62,4.7,1.26,3.28,C,C,8.61,2.98,4.09,4.29,6.79,6.93,2,4,4,M,NA,NA,2021_2023
45594,Croche,2022,SGH220013,49.57,10.4,5.3,1.38,4.49,C,C,9.49,3.47,4.06,4.88,6.03,6.04,2,4,4,M,NA,NA,2021_2023
45594,Croche,2022,SGH220014,45.31,9.48,5.17,1.19,3.18,P,C,8.71,3.23,3.85,4.83,6.42,6.68,2,4,4,F,3 space and a 1 space gap in plates on right side,NA,2021_2023
45594,Croche,2022,SGH220015,34.42,9.07,4.31,0.75,2.45,P,P,4.77,2.71,2.82,3.35,4.72,4.41,2,4,4,M,reduced keel,NA,2021_2023
45586,Croche,2022,SGH220016,46.73,9.84,5.22,1.2,3.65,P,P,8.56,3.11,4.19,4.59,5.65,6.22,2,4,4,F,NA,NA,2021_2023
45586,Croche,2022,SGH220017,52.38,11.11,5.82,1.39,3.78,C,C,10.02,3.63,4.79,5.61,7.22,7.67,2,4,4,F,NA,NA,2021_2023
45594,Croche,2022,SGH220018,40.65,8.34,4.32,1.1,3.14,C,C,NA,NA,4.06,4.21,NA,5.39,1,3,4,M,"partial pelvic girdle, 1 plate gap on both sides",NA,2021_2023
45586,Croche,2022,SGH220019,54.29,11.61,5.1,1.45,4.36,C,C,10.18,3.96,5.4,6.03,7.13,7.47,2,4,4,F,NA,NA,2021_2023
45589,Croche,2022,SGH220020,34.36,7.49,4.25,0.87,2.84,P,P,6.34,2.62,3.1,3.67,5.03,5.12,2,4,4,F,1 plate gap on left side,NA,2021_2023
45586,Croche,2022,SGH220021,55.47,12.19,6.33,1.37,4.64,C,C,11.03,3.67,4.63,5.14,7.8,7.75,2,4,4,F,NA,NA,2021_2023
45586,Croche,2022,SGH220022,49.22,11.56,5.85,1.29,3.82,P,P,8.36,3.97,3.58,4.12,5.38,5.83,2,4,4,F,NA,NA,2021_2023
45586,Croche,2022,SGH220023,38.44,7.49,3.51,0.62,2.8,C,C,NA,NA,3.49,3.92,NA,NA,0,2,3,F,"partial pelvic girdle, 1 plate gap on both sides",NA,2021_2023
45586,Croche,2022,SGH220024,55.84,11.99,5.58,1.37,4.83,C,C,10.33,3.96,5.75,5.73,6.63,6.25,2,4,4,F,tapeworm? in gut but not body cavity *,NA,2021_2023
45589,Croche,2022,SGH220025,46.16,9.96,5.21,1.42,3.9,C,C,7.76,3.14,5.11,5.29,7.03,7.05,2,4,4,M,NA,NA,2021_2023
45594,Croche,2022,SGH220026,39.7,8.23,4.82,0.98,3.26,P,P,7.13,2.83,3.3,3.73,5.62,5.74,2,4,4,F,NA,NA,2021_2023
45586,Croche,2022,SGH220027,36.65,7.26,4.23,0.96,2.81,P,P,6.78,2.47,NA,4.33,5.65,5.63,2,4,4,F,NA,NA,2021_2023
45594,Croche,2022,SGH220028,42.2,8.78,4.55,1.14,3.25,P,C,7.54,2.82,3.71,4.17,5.07,5.72,2,4,4,M,3 space gap on right side,NA,2021_2023
45594,Croche,2022,SGH220029,46.65,9.94,5.06,1.14,3.75,C,C,9.08,3.33,4.47,4.73,7.13,7.09,2,4,4,M,NA,NA,2021_2023
45586,Croche,2022,SGH220030,38.47,8.03,4.51,1.06,3.27,P,P,7.56,2.69,3.87,4.31,6.02,6.15,2,4,4,M,NA,NA,2021_2023
45594,Croche,2022,SGH220031,38.64,8.14,4.44,1.04,3.21,C,C,7.38,2.83,4.19,4.49,4.59,6.25,2,4,4,M,last plates very reduced,NA,2021_2023
45589,Croche,2022,SGH220032,37.23,8.84,4.42,1.09,2.8,P,P,4.94,2.73,2.79,3.42,4.52,4.59,2,4,4,M,"missing bottom half, isolated plates anterior to keel",NA,2021_2023
45589,Croche,2022,SGH220033,38.41,7.64,3.96,1.01,2.88,P,P,5.83,2.69,3.1,3.48,4.6,4.68,2,4,4,F,isolated plates anterior to keel,NA,2021_2023
45586,Croche,2022,SGH220034,38.25,7.65,4.3,0.77,2.74,P,P,6.55,2.66,2.91,3.57,5.01,5.27,2,4,4,F,NA,NA,2021_2023
45594,Croche,2022,SGH220035,36.16,7.63,4.34,0.84,3.02,C,C,7.26,2.62,3.08,3.71,4.96,5.04,2,4,4,M,isolated plates anterior to keel,NA,2021_2023
45586,Croche,2022,SGH220036,38.53,7.79,4.16,0.98,3.15,P,P,7.24,2.54,3.62,3.45,5.63,5.72,2,4,4,M,NA,NA,2021_2023
45594,Croche,2022,SGH220037,58.57,12.58,5.97,1.55,5.44,C,C,9.79,4.09,4.19,5.01,6.83,6.97,2,4,4,M,missing DS3,NA,2021_2023
45594,Croche,2022,SGH220038,49.27,10.41,5.71,1.33,3.85,P,P,9.31,3.52,3.44,3.79,5.73,6.05,2,4,4,M,NA,NA,2021_2023
45586,Croche,2022,SGH220039,39.7,8.37,4.74,0.97,NA,P,P,6.92,2.53,3.22,3.54,5.34,5.07,2,4,4,M,NA,NA,2021_2023
45589,Croche,2022,SGH220040,59.43,12.75,6.32,1.46,4.09,C,C,9.14,4.48,4.49,4.61,6.86,7.03,2,4,4,F,"has eggs, but ""male"" dentition",NA,2021_2023
45594,Croche,2022,SGH220041,38.76,7.81,4.34,1.12,2.94,C,C,7.21,2.61,3.59,4.17,6.04,6.07,2,4,4,U,"trap mortality, some tissue decay",NA,2021_2023
45594,Croche,2022,SGH220042,37.32,8.02,4.53,1.17,2.62,P,P,6.53,2.51,2.78,3.69,5.4,5.54,2,4,4,M,NA,NA,2021_2023
45589,Croche,2022,SGH220043,55.38,12.59,6.4,1.49,4.35,C,C,10.74,3.94,3.42,5.19,7.7,7.73,2,4,4,F,NA,NA,2021_2023
45594,Croche,2022,SGH220044,53.41,11.77,5.76,1.25,4.49,P,P,9.46,4.2,5.14,5.48,7.07,6.83,2,4,4,F,NA,NA,2021_2023
45589,Croche,2022,SGH220045,46.02,9.04,5.28,1.16,NA,C,C,8.27,2.91,4.37,4.56,6.65,6.6,2,4,4,M,NA,NA,2021_2023
45594,Croche,2022,SGH220046,44.57,9.41,5.43,1.45,3.54,P,P,7.89,3.13,3.66,4.23,5.93,6.03,2,4,4,M,"has testes, but ""female"" dentition (caldecutt et al 2001?), mouth open",NA,2021_2023
45586,Croche,2022,SGH220047,41.76,8.4,4.69,1.02,NA,C,C,7.72,2.79,3.71,3.95,4.17,5.54,2,4,4,M,"has testes, but ""female"" dentition (caldecutt et al 2001?), mouth open",NA,2021_2023
45589,Croche,2022,SGH220048,45.34,9.42,5.18,1.36,3.86,C,C,8.34,8.13,4.95,4.75,6.63,6.83,2,4,4,M,NA,NA,2021_2023
45589,Croche,2022,SGH220049,38.2,8.26,4.24,1.06,2.59,P,P,6.92,2.79,3.46,3.67,5.42,5.61,2,4,4,M,NA,NA,2021_2023
45594,Croche,2022,SGH220050,39.52,8.39,4.58,1.13,NA,P,P,7.39,2.61,3.9,4.58,6.36,6.52,2,4,4,M,NA,NA,2021_2023
45589,Croche,2022,SGH220051,44.69,9.93,4.96,1.1,3.43,P,P,NA,NA,3.74,4.4,NA,4.91,1,3,4,F,"partial pelvic girdle, 1 space gap in plates on right side",NA,2021_2023
45601,Croche,2023,SGH230002,58.72,12.97,6.04,1.36,NA,C,C,10.64,4.57,4.29,5.24,7.74,8.06,2,4,4,F,Glugea anomala,NA,2021_2023
45601,Croche,2023,SGH230003,49.01,10.65,6.09,1.13,4.52,C,P,9.21,3.71,4.43,4.51,7.19,5.77,2,4,4,M,"3 plate gap left side, 1 plate gap right side",NA,2021_2023
45601,Croche,2023,SGH230004,53.07,11.02,5.88,1.28,3.94,C,C,10.04,3.98,3.21,5.03,6.66,6.85,2,4,4,F,D1 broken off?,NA,2021_2023
45601,Croche,2023,SGH230005,49.09,10.53,5.55,1.52,4.71,C,P,8.41,3.6,NA,5.14,7.34,7.43,2,4,4,M,"3 plate gap left side, 1 plate gap right side",NA,2021_2023
45601,Croche,2023,SGH230006,54.53,10.97,5.23,1.26,NA,C,C,8.73,3.89,4.64,5.15,6.7,6.66,2,4,4,F,NA,NA,2021_2023
45601,Croche,2023,SGH230007,58.46,12.45,6.42,1.83,4.58,C,C,10.77,4.1,6.02,5.58,NA,6.86,2,4,4,F,partial pelvic girdle,NA,2021_2023
45595,Croche,2022,SGH230008,52.39,11.31,1.26,1.26,4.4,P,P,9.68,3.8,3.66,4.22,6.64,6.67,2,4,4,F,NA,NA,2021_2023
45595,Croche,2022,SGH230009,51.84,11.96,1.76,1.76,4.42,C,C,10.12,3.71,NA,6.29,8.44,8.47,2,4,4,F,NA,NA,2021_2023
45601,Croche,2023,SGH230010,56.13,12.35,7.27,1.48,5.19,P,P,11.01,3.92,5.58,6.18,9.02,9.3,2,4,4,M,NA,NA,2021_2023
45601,Croche,2023,SGH230011,56.67,13.09,6.81,1.63,4.6,C,C,11.28,4.03,4.14,6.19,8.76,9.04,2,4,4,F,NA,NA,2021_2023
45601,Croche,2023,SGH230012,52.02,10.84,5.72,1.22,4.87,C,C,9.64,3.59,4.4,4.81,7.09,7.03,2,4,4,M,NA,NA,2021_2023
45601,Croche,2023,SGH230013,49.86,10.39,5.44,1.35,3.7,C,C,9.36,3.33,4.36,4.77,5.53,6.06,2,4,4,F,NA,NA,2021_2023
45601,Croche,2023,SGH230014,52.49,11.42,5.81,1.31,4.72,C,C,9.55,3.82,3.97,4.03,NA,7.03,2,4,4,M,broken pelvic spine,NA,2021_2023
45601,Croche,2023,SGH230015,55.39,12.38,5.79,1.3,3.9,C,C,11.55,3.85,4.19,4.69,7.67,7.65,2,4,4,F,NA,NA,2021_2023
45601,Croche,2023,SGH230016,49.57,10.49,5.84,1.19,4.11,P,P,9.04,3.65,4.29,NA,6.92,7.16,2,4,4,M,NA,NA,2021_2023
45601,Croche,2023,SGH230017,54.74,11.67,6.12,1.47,NA,C,C,9.64,3.8,5.36,6.09,8.29,8.24,2,4,4,M,2 plate gap both sides,NA,2021_2023
45601,Croche,2023,SGH230018,53.54,10.65,5.67,1.38,NA,C,C,10.78,3.58,4.78,4.97,7.94,8.05,2,4,4,F,1 plate gap left side,NA,2021_2023
45601,Croche,2023,SGH230019,49.28,11.03,5.95,1.41,4.6,C,C,8.31,3.83,4.22,4.58,6.53,6.54,2,4,4,M,NA,NA,2021_2023
45601,Croche,2023,SGH230020,52.73,12.36,6.24,1.36,4.47,C,C,9.35,3.92,4.83,5.23,8.13,7.97,2,4,4,M,"large parasites, 1 plate gap left side",NA,2021_2023
45601,Croche,2023,SGH230021,52.4,12.07,6.33,1.47,4.74,P,P,10.45,3.98,4.36,4.73,7.73,7.83,2,4,4,M,NA,NA,2021_2023
45601,Croche,2023,SGH230022,50.78,9.49,NA,NA,NA,P,P,NA,NA,4.13,4.71,NA,NA,0,1,2,M,AP morphed? partial pelvic girdle,NA,2021_2023
45582,Foin,2022,FGH220004,36.12,7.74,4.11,1.28,2.66,P,P,7.12,2.65,4.17,4.23,6.19,6.4,2,4,4,F,NA,NA,2021_2023
45582,Foin,2022,FGH220005,35.19,7.95,3.73,1.17,2.43,C,C,7.05,2.69,3.77,3.97,5.86,5.63,2,4,4,F,NA,NA,2021_2023
45582,Foin,2022,FGH220006,43.9,10.56,6.17,1.48,3.41,C,C,8.69,3.3,5.51,5.66,6.97,7.41,2,4,4,M,1 plate gap on both sides,NA,2021_2023
45582,Foin,2022,FGH220007,37.3,8.18,4.45,1.24,2.74,P,C,7.27,2.72,3.33,4.28,5.41,5.76,2,4,4,M,"1 plate gap left side, 3 plate gap right side",NA,2021_2023
45582,Foin,2022,FGH220008,38.91,8.69,4.1,1.13,3.07,C,P,7.31,2.87,3.84,4.37,5.72,5.78,2,4,4,M,3 plate gap left side,NA,2021_2023
45582,Foin,2022,FGH220009,37.87,8.37,4.63,1.19,2.79,C,C,7.03,3.01,4.18,4.47,5.9,6.19,2,4,4,M,NA,NA,2021_2023
45582,Foin,2022,FGH220010,36.28,7.98,4.4,0.92,2.63,P,P,7.17,2.68,3.72,4.08,5.08,5.3,2,4,4,F,NA,NA,2021_2023
45582,Foin,2022,SGH220001,45.53,12.18,5.69,1.69,3.92,C,C,8.59,4.47,4.23,4.61,6.16,6.36,2,4,4,F,NA,NA,2021_2023
45582,Foin,2022,SGH220002,56.06,11.84,5.76,1.65,3.76,C,P,8.64,4.11,4.41,4.73,6.58,6.46,2,4,4,F,partial plate morph on left side,NA,2021_2023
45582,Foin,2022,SGH220003,49.33,11.33,5.96,1.73,4.13,P,P,9.44,4.16,4.44,4.71,6.43,6.61,2,4,4,M,1 plate gap on left side,NA,2021_2023
45582,Foin,2022,SGH220004,51.86,12.24,6.3,2.05,4.71,C,C,9.02,4.18,4.97,5.19,6.98,7.12,2,4,4,M,NA,NA,2021_2023
45582,Foin,2022,SGH220005,46.46,10.49,5.18,1.72,3.47,P,P,6.98,3.48,4.39,4.65,5.69,5.19,2,4,4,F,NA,NA,2021_2023
45582,Foin,2022,SGH220006,51.32,11.18,5.95,1.75,3.64,C,C,9.79,4.02,4.24,4.45,6.56,6.36,2,4,4,F,NA,NA,2021_2023
45582,Foin,2022,SGH220007,45.35,9.78,4.77,1.35,3.66,C,C,7.63,3.08,4.45,4.73,6.14,5.96,2,4,4,M,NA,NA,2021_2023
45582,Foin,2022,SGH220008,46.7,10.37,5.68,1.53,3.41,C,C,9.37,3.57,4.89,5.67,7.44,7.68,2,4,4,F,NA,NA,2021_2023
45582,Foin,2022,SGH220009,49.78,10.98,5.84,1.63,3.97,C,C,9.75,3.62,3.75,5.03,7.44,7.64,2,4,4,F,NA,NA,2021_2023
45582,Foin,2022,SGH220010,44.66,10.58,5.74,1.68,3.5,C,C,8.49,3.46,4.49,4.63,5.7,6.76,2,4,4,F,2 space gap in plates on right side,NA,2021_2023
45601,Foin,2023,SGH230001,53.48,12.41,6.57,1.58,4.74,C,C,9.18,4.31,3.82,NA,6.51,6.61,2,4,4,M,1 space gap in plates on right side,NA,2021_2023
45581,Rond,2022,FGH220001,39.45,8.64,4.49,1.04,2.98,P,P,7.52,2.97,4.23,4.42,7.18,6.96,2,4,4,M,NA,NA,2021_2023
